,precision,recall,f1-score,support,Labels
0,0.8918918918918919,0.825,0.8571428571428571,40.0,Bark
1,0.8055555555555556,0.725,0.7631578947368423,40.0,Meow
2,0.918918918918919,0.85,0.8831168831168831,40.0,Siren
3,0.7222222222222222,0.65,0.6842105263157895,40.0,Shatter
4,0.6607142857142857,0.925,0.7708333333333333,40.0,Knock
5,0.8181818181818182,0.9,0.8571428571428572,40.0,Crying_and_sobbing
6,0.9393939393939394,0.775,0.8493150684931509,40.0,Microwave_oven
7,0.7659574468085106,0.9,0.8275862068965516,40.0,Vehicle_horn_and_car_horn_and_honking
8,0.95,0.95,0.9500000000000001,40.0,Doorbell
9,0.7352941176470589,0.625,0.6756756756756757,40.0,Walk_and_footsteps
accuracy,0.8125,0.8125,0.8125,0.8125,accuracy
macro avg,0.8208130196334201,0.8125,0.8118181302853941,400.0,macro avg
weighted avg,0.8208130196334201,0.8125,0.8118181302853941,400.0,weighted avg
